Carimbo de data/hora,Qual a sua idade?,Sexo,Qual a sua equipe favorita?,Quantidade de jogos que você costuma assistir durante a semana,Qual a sua plataforma favorita para assistir os jogos?,Qual o seu jogador favorito em atividade? ,Para você quem é o maior atleta da história da NBA?,Você costuma jogar basquete casualmente ou profissionalmente?,Você costuma apostar em partidas da NBA?,"Caso aposte, quanto você costuma apostar em média por mês?",Você acompanha a liga nacional de basquete do Brasil (NBB)?
22/05/2024 23:48:27,25,Masculino,Brooklyn Nets,2,ESPN,Trae Young,Michael Jordan,Sim,Sim,"R$ 10,01 a R$ 24,99",Não
22/05/2024 23:56:16,21,Masculino,Chicago Bulls,5,NBA League Pass,LaMelo Ball,Michael Jordan,Sim,Sim,"Mais de R$ 100,00",Sim
22/05/2024 23:56:19,22,Masculino,Boston Celtics,4,Prime Video,Jayson Tatum,LeBron James,Sim,Não,,Não
22/05/2024 23:59:59,24,Masculino,Milwaukee Bucks,2,Prime Video,Giannis Antetokounmpo,LeBron James,Não,Sim,"R$ 10,01 a R$ 24,99",Não
23/05/2024 00:00:15,20,Masculino,Oklahoma City Thunder,7,ESPN,Outro,Michael Jordan,Não,Sim,"R$ 25,00 a R$ 49,99",Não
23/05/2024 00:02:03,23,Masculino,Indiana Pacers,3,Prime Video,LeBron James,LeBron James,Não,Sim,"R$ 25,00 a R$ 49,99",Não
23/05/2024 00:02:15,19,Masculino,Chicago Bulls,1,Prime Video,Kevin Durant,Kobe Bryant,Não,Não,,Não
23/05/2024 00:02:47,20,Masculino,Dallas Mavericks,2,ESPN,Luka Doncic,Michael Jordan,Não,Não,,Sim
23/05/2024 00:09:13,15,Masculino,Golden State Warriors,100,NBA League Pass,Outro,LeBron James,Sim,Sim,"Mais de R$ 100,00",Não
23/05/2024 00:11:35,16,Feminino,Houston Rockets,2,NBA League Pass,Ja Morant,LeBron James,Sim,Não,,Sim
23/05/2024 00:13:56,16,Masculino,Milwaukee Bucks,3,NBA League Pass,Giannis Antetokounmpo,Kobe Bryant,Sim,Não,,Não
23/05/2024 00:15:35,23,Feminino,Não possuo time favorito,0,Prime Video,LeBron James,Michael Jordan,Não,Não,,Não
23/05/2024 00:15:45,16,Masculino,Minnesota Timberwolves,4,ESPN,Outro,Michael Jordan,Sim,Sim,"Mais de R$ 100,00",Sim
23/05/2024 00:30:57,23,Masculino,Brooklyn Nets,5,ESPN,Stephen Curry,Magic Johnson,Sim,Sim,"R$ 50,00 a R$ 74,99",Sim
23/05/2024 00:32:29,19,Masculino,Não possuo time favorito,5,Youtube - Canal NBA Brasil,Ja Morant,Michael Jordan,Não,Não,"R$ 10,01 a R$ 24,99",Sim
23/05/2024 00:36:38,18,Masculino,Golden State Warriors,3,ESPN,Stephen Curry,Michael Jordan,Não,Não,,Sim
23/05/2024 00:37:22,23,Feminino,Los Angeles Lakers,1,SporTV,Stephen Curry,Michael Jordan,Não,Não,"R$ 10,01 a R$ 24,99",Sim
23/05/2024 00:44:25,22,Masculino,Los Angeles Lakers,4,Prime Video,LeBron James,Michael Jordan,Não,Sim,"R$ 10,01 a R$ 24,99",Não
23/05/2024 01:03:07,25,Feminino,Golden State Warriors,1,NBA League Pass,Stephen Curry,LeBron James,Não,Sim,"R$ 10,01 a R$ 24,99",Sim
23/05/2024 01:06:47,23,Masculino,Não possuo time favorito,0,Youtube - Canal NBA Brasil,Stephen Curry,Michael Jordan,Sim,Não,,Não
23/05/2024 01:16:20,25,Masculino,Golden State Warriors,1,ESPN,Stephen Curry,Michael Jordan,Não,Não,,Sim
23/05/2024 02:05:51,66,Masculino,Chicago Bulls,0,ESPN,Kevin Durant,Michael Jordan,Não,Não,,Sim
23/05/2024 03:54:05,17,Masculino,Los Angeles Lakers,7,Prime Video,LeBron James,LeBron James,Não,Sim,"Mais de R$ 100,00",Sim
23/05/2024 05:33:05,20,Feminino,Los Angeles Lakers,0,Outro,Stephen Curry,Michael Jordan,Não,Não,,Não
23/05/2024 06:05:24,17,Masculino,Golden State Warriors,3,NBA League Pass,Stephen Curry,LeBron James,Não,Não,,Sim
23/05/2024 06:17:20,23,Masculino,Não possuo time favorito,0,ESPN,Stephen Curry,LeBron James,Não,Não,,Não
23/05/2024 06:42:17,19,Masculino,Los Angeles Clippers,2,ESPN,Joel Embiid,Michael Jordan,Sim,Sim,"Mais de R$ 100,00",Não
23/05/2024 07:37:19,16,Masculino,Charlotte Hornets,4,SporTV,Kyrie Irving,Kobe Bryant,Não,Não,,Sim
23/05/2024 08:15:55,17,Masculino,Phoenix Suns,3,Youtube - Canal NBA Brasil,Luka Doncic,Larry Bird,Sim,Sim,"R$ 10,01 a R$ 24,99",Sim
23/05/2024 08:31:22,22,Masculino,Minnesota Timberwolves,4,Prime Video,Outro,LeBron James,Sim,Não,,Não
23/05/2024 08:54:56,25,Masculino,Los Angeles Lakers,1,Prime Video,Stephen Curry,Magic Johnson,Não,Não,,Não
23/05/2024 09:18:25,25,Masculino,Atlanta Hawks,2,Prime Video,Trae Young,Michael Jordan,Não,Não,"R$ 25,00 a R$ 49,99",Não
23/05/2024 09:59:02,35,Masculino,Los Angeles Lakers,0,ESPN,LeBron James,Michael Jordan,Não,Não,,Não
23/05/2024 10:53:43,23,Feminino,Memphis Grizzlies,2,ESPN,Ja Morant,Michael Jordan,Não,Não,,Sim
23/05/2024 10:59:07,29,Masculino,Não possuo time favorito,0,Youtube - Canal NBA Brasil,Stephen Curry,Michael Jordan,Não,Não,,Não
23/05/2024 12:36:57,38,Masculino,San Antonio Spurs,4,ESPN,Stephen Curry,Michael Jordan,Sim,Sim,"R$ 75,00 a R$ 100,00",Não
23/05/2024 12:56:29,19,Masculino,Boston Celtics,5,ESPN,Jayson Tatum,Michael Jordan,Sim,Não,,Não
23/05/2024 14:03:05,38,Masculino,Golden State Warriors,1,ESPN,LeBron James,Michael Jordan,Não,Não,"R$ 10,01 a R$ 24,99",Não
23/05/2024 15:45:18,20,Feminino,New Orleans Pelicans,2,NBA League Pass,Outro,Michael Jordan,Sim,Não,,Sim
23/05/2024 23:15:44,20,Feminino,Philadelphia 76ers,3,Prime Video,Joel Embiid,Kobe Bryant,Não,Sim,"R$ 50,00 a R$ 74,99",Não
23/05/2024 23:23:35,19,Masculino,Los Angeles Clippers,4,NBA League Pass,James Harden,LeBron James,Sim,Sim,"R$ 25,00 a R$ 49,99",Não
24/05/2024 10:22:09,30,Masculino,Boston Celtics,7,NBA League Pass,Jayson Tatum,Bill Russell,Sim,Sim,"Mais de R$ 100,00",Não
24/05/2024 10:23:07,24,Feminino,Golden State Warriors,5,ESPN,Stephen Curry,Michael Jordan,Não,Não,,Não
24/05/2024 10:25:21,21,Masculino,San Antonio Spurs,2,Prime Video,James Harden,Michael Jordan,Sim,Sim,"R$ 25,00 a R$ 49,99",Não
24/05/2024 12:20:29,27,Masculino,Miami Heat,1,Youtube - Canal NBA Brasil,Outro,Michael Jordan,Não,Sim,"Mais de R$ 100,00",Sim
24/05/2024 18:56:05,33,Masculino,Denver Nuggets,4,ESPN,Nikola Jokic,Michael Jordan,Não,Sim,"R$ 25,00 a R$ 49,99",Não
24/05/2024 18:56:41,22,Feminino,Milwaukee Bucks,6,NBA League Pass,Giannis Antetokounmpo,LeBron James,Não,Não,,Não
24/05/2024 18:57:30,21,Masculino,Golden State Warriors,5,ESPN,Stephen Curry,Michael Jordan,Sim,Sim,"R$ 50,00 a R$ 74,99",Sim